uql_query,natural_query
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Q7JV7bwCQeW-HH16RnLzjA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-03-23 09:42:30"") OR ([ds6w:modified]>""2024-05-13 06:26:42"")))","""Give me all swym:215dsi0708:DSEXT001:community:Q7JV7bwCQeW-HH16RnLzjA containers with type swym:Post, swym:Idea, or swym:Question, or with type swym:WikitreePage and visibility 1, created before March 23, 2023 09:42:30 or after May 13, 2024 06:26:42."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:sKTwuEqTS32HHsJ-sZSmzQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-10-10 14:05:39"") OR ([ds6w:modified]>""2018-10-10 14:05:39"")))","""Retrieve documents from the container with UID 'wym:215dsi0708:DSEXT001:community:sKTwuEqTS32HHsJ-sZSmzQ' that are of type 'Post', 'Idea', or 'Question', or are Wikitree pages with visibility '1', and were modified before '2018-10-10 14:05:39' or after '2018-10-10 14:05:39'."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:78"")",Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:78.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:h2YmHKxQQbiYnW0sL1-znA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-07-20 22:38:29"") OR ([ds6w:modified]>""2020-10-20 20:47:37"")))","""Retrieve swym:Post, swym:Idea, swym:Question, or swym:WikitreePage documents with wiki visibility 1 that are contained in swym:215dsi0708:DSEXT001:community and were created before 2020-07-20 22:38:29 or after 2020-10-20 20:47:37""."
[ds6w:resourceUid]:(300d134d-e353-4340-8689-781c8d73bc43),"""Retrieve the document with resource ID 300d134d-e353-4340-8689-781c8d73bc43."""
[ds6w:resourceUid]:(b643532d-883a-4533-9772-e18fcee5af57 OR 2a97ba88-3885-468e-86fa-95e38747ae04 OR ee476acc-b41d-4b37-918d-f279c9a885da OR 0ed18425-47f9-44a9-84f3-aad4cfeb55e0 OR 8effdb45-67a7-4b5b-8152-cf264d9e89d5 OR 0d628b01-8b9c-4de7-a1e0-1f0c3373c1ae OR f67d8c29-62f4-4787-b638-6a4c5ee14a18 OR 44c214ac-f5d5-43a3-872b-823b5ad7f225),"Retrieve resources with the following UIDs: b643532d-883a-4533-9772-e18fcee5af57, 2a97ba88-3885-468e-86fa-95e38747ae04, ee476acc-b41d-4b37-918d-f279c9a885da, 0ed18425-47f9-44a9-84f3-aad4cfeb55e0, 8effdb45-67a7-4b5b-8152-cf264d9e89d5, 0d628b01-8b9c-4de7-a1e0-1f0c3373c1ae, f67d8c29-62f4-4787-b638-6a4c5ee14a18, 44c214ac-f5d5-43a3-872b-823b5ad7f225."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:mu2VMY4uRjSAl4dNpCiuMA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-10-16 09:11:50"") OR ([ds6w:modified]>""2021-07-13 08:04:26"")))","""Give me all documents with container ID 'wym:215dsi0708:DSEXT001:community:mu2VMY4uRjSAl4dNpCiuMA that are of type 'wym:Post', 'wym:Idea', or 'wym:Question' or are Wikitree pages with visibility set to 1 and were modified between October 16, 2020, 09:11:50 and July 13, 2021, 08:04:26."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2RsEPvsES4SyFLMimMldPA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-05-23 14:43:36"") OR ([ds6w:modified]>""2024-05-20 10:39:41"")))","""Retrieve documents in the container swym:215dsi0708:DSEXT001:community:2RsEPvsES4SyFLMimMldPA that are of type Post, Idea, or Question, or are Wikitree pages with visibility 1, and were modified after 2019-05-23 14:43:36 or before 2024-05-20 10:39:41."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1648"")",Retrieve documents with resourceUid matching swym:215dsi0708:DSEXT001:community:1648.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:F73K_3q1TZqQ68cpJB2I6w"")","""Retrieve documents with resource UID matching swym:215dsi0708:DSEXT001:community:F73K_3q1TZqQ68cpJB2I6w."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:2480"")",Retrieve documents with resourceUid matching swym:215dsi0708:DSEXT001:community:2480.
"([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:fCqYlS98RUCOZl4ruqnWHw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1)))","""Retrieve documents from 'wym:215dsi0708:DSEXT001:community:fCqYlS98RUCOZl4ruqnWHw' container that are of type Post, Idea, or Question, or are Wiki pages with wiki visibility set to 1."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:015J3_t8RFeMFMZGCOkvLw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-01-24 16:35:53"") OR ([ds6w:modified]>""2024-05-21 04:13:07"")))","""Retrieve documents from the 'wym:215dsi0708:DSEXT001:community:015J3_t8RFeMFMZGCOkvLw' container that are of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with visibility set to 1, and modified between January 24, 2020 16:35:53 and May 21, 2024 04:13:07."""
"([ds6w:type]:""pno:person"" AND (""YTQ"" OR ""XUO"" OR ""MLE3"" OR ""MMU8"" OR ""OPK"" OR ""CSN1"" OR ""SGO1"" OR ""YW5"" OR ""ZYN""))","""Retrieve documents of type 'pno:person' that have either 'YTQ', 'XUO', 'MLE3', 'MMU8', 'OPK', 'CSN1', 'SGO1', 'YW5', or 'ZYN'."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:9tQC7RnBSla2dGl2AsmKXw"")","""Retrieve resources with resourceUid matching swym:215dsi0708:DSEXT001:community:9tQC7RnBSla2dGl2AsmKXw"""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:JD6AZAfKRwCRjTPnoC3_wQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-10-24 08:30:57"") OR ([ds6w:modified]>""2024-05-13 08:39:41"")))","""Retrieve documents from the container with UID swym:215dsi0708:DSEXT001:community:JD6AZAfKRwCRjTPnoC3_wQ, where the type is either Post, Idea, or Question, or the type is WikitreePage with visibility set to 1, and the modification date is before 2022-10-24 08:30:57 or after 2024-05-13 08:39:41."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:QjVzEkDuSdG8jGyp6zMw2w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-02-15 08:42:59"") OR ([ds6w:modified]>""2023-08-01 08:56:31"")))","""Retrieve swym:Post, swym:Idea, swym:Question, and swym:WikitreePage documents with wiki visibility 1, that are in the container 'wym:215dsi0708:DSEXT001:community:QjVzEkDuSdG8jGyp6zMw2w' and have a modified date before 2021-02-15 08:42:59 or after 2023-08-01 08:56:31."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:lYl3iLqiTseA2qHXrRNf8Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-06-19 10:05:24"") OR ([ds6w:modified]>""2023-07-12 08:51:05"")))","""Retrieve documents with container ID swym:215dsi0708:DSEXT001:community:lYl3iLqiTseA2qHXrRNf8Q that are either a swym Post, swym Idea, or swym Question or a swym WikitreePage with visibility level 1, and were modified before June 19, 2023, 10:05:24 or after July 12, 2023, 08:51:05."""
NOT(physicalid:ABECBADF255E00005EA71F500017E1DA),NOT Retrieve documents with physical ID ABECBADF255E00005EA71F500017E1DA.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:Awz2gWsbQdOWZ9eVlS5ECw"")","""Retrieve documents with resourceUid that matches 'wym:215dsi0708:DSEXT001:community:Awz2gWsbQdOWZ9eVlS5ECw'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:JgN_4ughSP6WsFW5wmKrvQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-11-24 11:18:36"") OR ([ds6w:modified]>""2022-03-04 14:10:13"")))","""Retrieve documents with container 'wym:215dsi0708:DSEXT001:community:JgN_4ughSP6WsFW5wmKrvQ' that are either of type 'wym:Post', 'wym:Idea', or 'wym:Question' or are a 'wym:WikitreePage' with visibility 1, and updated before 2020-11-24 11:18:36 or after 2022-03-04 14:10:13."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:QysZFxazSmSz2sLn3ZXzVA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-08-09 15:16:13"") OR ([ds6w:modified]>""2023-08-22 15:23:09"")))","""Retrieve swym:Post, swym:Idea, or swym:Question documents from the swym:215dsi0708:DSEXT001:community:QysZFxazSmSz2sLn3ZXzVA container, with type swym:WikitreePage and wiki visibility set to 1, modified before 2023-08-09 15:16:13 or after 2023-08-22 15:23:09."""
[ds6w:label]:Schindler*,"""Retrieve documents with label containing 'Schindler'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:7o1KBxiwR-KY3AR9nGaYIA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-03-21 13:13:36"") OR ([ds6w:modified]>""2024-05-09 04:10:01"")))","""Give me posts, ideas, and questions from the community '7o1KBxiwR-KY3AR9nGaYIA' with type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility 1, modified before March 21, 2018, 13:13:36 or after May 9, 2024, 04:10:01"""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Qblb_IiHQ9SvhLfD2ao8AQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-10-24 16:52:33"") OR ([ds6w:modified]>""2020-10-06 12:45:14"")))","Here is the natural language equivalent for the given UQL query:

Retrieve documents with container UID ""swym:215dsi0708:DSEXT001:community:Qblb_IiHQ9SvhLfD2ao8AQ"" that are either of type Post, Idea, or Question, or are WikitreePages with visibility set to 1, and were modified before October 24, 2019 16:52:33 or after October 6, 2020 12:45:14."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:AVbuU7ugSjK679RvnDKZ4g"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-07-21 12:31:23"") OR ([ds6w:modified]>""2022-08-19 13:15:06"")))","""Retrieve posts, ideas, or questions from the community 'AVbuU7ugSjK679RvnDKZ4g' with a wiki visibility of 1, created before July 21, 2021 12:31:23 or after August 19, 2022 13:15:06."""
"NOT(physicalid:CF9A9B49FBE70C006613F6300000359A)AND NOT(type == ""Workspace Vault"")","Do not retrieve documents with physical ID CF9A9B49FBE70C006613F6300000359A and not of type ""Workspace Vault""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:AeqKjSnJQbq5dke5DiAFMg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-03-27 10:38:35"") OR ([ds6w:modified]>""2024-05-16 08:01:20"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:AeqKjSnJQbq5dke5DiAFMg' that are either 'wym:Post', 'wym:Idea', or 'wym:Question' or 'wym:WikitreePage' with visibility 1, and created before March 27, 2020 10:38:35 or after May 16, 2024 08:01:20."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:UfrLn6zWTVyfaoLJI7nt9Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-10-15 14:31:04"") OR ([ds6w:modified]>""2024-05-20 07:04:06"")))","""Retrieve swym:Post, swym:Idea, swym:Question, or swym:WikitreePage documents with wiki_visibility 1 from swym:215dsi0708:DSEXT001:community:UfrLn6zWTVyfaoLJI7nt9Q container with modification date before 2021-10-15 14:31:04 or after 2024-05-20 07:04:06."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:cHA-a8MpSTi_yfLbGd--8w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-10-30 15:02:51"") OR ([ds6w:modified]>""2024-05-01 09:28:27"")))","""Retrieve swym: Post, Idea, or Question with container ID swym:215dsi0708:DSEXT001:community:cHA-a8MpSTi_yfLbGd--8w, or WikitreePage with visibility 1, modified before 2023-10-30 15:02:51 or after 2024-05-01 09:28:27."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:ouIgV-b-SNqxu2bOLO_61g"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-11-18 15:08:34"") OR ([ds6w:modified]>""2022-06-09 08:18:21"")))","""Find all documents with container ID 'wym:215dsi0708:DSEXT001:community:ouIgV-b-SNqxu2bOLO_61g' that are of type 'wym:Post', 'wym:Idea', or 'wym:Question', or are of type 'wym:WikitreePage' with visibility 1, and were modified before November 18, 2020, 15:08:34 or after June 9, 2022, 08:18:21."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1876"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2016-06-02 19:04:43"") OR ([ds6w:modified]>""2024-05-17 08:56:56"")))","""Give me documents contained in the swym:215dsi0708:DSEXT001:community:1876 container, with type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility level 1, and modified before 2016-06-02 19:04:43 or after 2024-05-17 08:56:56."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:9Cb-gtooTve5nEMZqAt8uA"")","""Retrieve resources with resource UID swym:215dsi0708:DSEXT001:community:9Cb-gtooTve5nEMZqAt8uA."""
(owner:tsi21 OR username:tsi21),Retrieve documents owned by tsi21 or created by user tsi21.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:g-mPlJCJQu6MBPQj3n5-9A"")","""Retrieve resources with uid matching swym:215dsi0708:DSEXT001:community:g-mPlJCJQu6MBPQj3n5-9A."""
[ds6w:label]:support*,Search for documents with label support*.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1034"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2013-04-18 16:37:51"") OR ([ds6w:modified]>""2023-06-27 15:47:31"")))","""Give me posts, ideas, or questions from the community '1034' in the swym:215dsi0708:DSEXT001 container, with type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with visibility '1', and modified date before April 18, 2013, 16:37:51 or after June 27, 2023, 15:47:31."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:3zf0a0P3Rc6VgS_wm2uJmA"")","""Retrieve documents with resourceUid matching swym:215dsi0708:DSEXT001:community:3zf0a0P3Rc6VgS_wm2uJmA."""
gene,"""Retrieve documents named 'gene'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:PV4JThTlQmidQJpooiLtZQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-04-29 12:03:23"") OR ([ds6w:modified]>""2024-05-20 14:19:57"")))","""Retrieve posts, ideas, and questions from community PV4JThTlQmidQJpooiLtZQ, and Wikitree pages with wiki visibility set to 1, created before 2019-04-29 12:03:23 or after 2024-05-20 14:19:57."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:f7i7j9ktQF6Rh5sFkVG9_g"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-03-28 13:03:44"") OR ([ds6w:modified]>""2024-05-17 21:07:29"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:f7i7j9ktQF6Rh5sFkVG9_g' that are either of type Post, Idea, or Question, or WikitreePage with visibility 1, and created or modified before 2020-03-28 13:03:44 or after 2024-05-17 21:07:29."""
[ds6w:resourceUid]:(524dfdaa-b95e-4b52-a845-10ee8381dc78 OR c97ff1f7-e805-4cf3-8e71-4d28f170568b),Retrieve documents with resource UIDs 524dfdaa-b95e-4b52-a845-10ee8381dc78 or c97ff1f7-e805-4cf3-8e71-4d28f170568b.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:938"")",Retrieve documents with resource ID swym:215dsi0708:DSEXT001:community:938.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:HMfrciUITiaEX_enm-p27w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-06-23 09:19:05"") OR ([ds6w:modified]>""2023-11-09 11:16:58"")))","""Retrieve posts, ideas, questions, or Wikitree pages from the community HMfrciUITiaEX_enm-p27w with a type of 'Post', 'Idea', 'Question' or 'WikitreePage' that have a visibility of 1 and were modified before June 23, 2023 09:19:05 or after November 9, 2023 11:16:58."""
[ds6w:resourceUid]:(6ea0bf4b-69b6-4f38-8879-29d138ca9ebf OR 2579a8bc-d069-4f0f-98c7-29f7deb52605 OR 74b1dc2b-01e5-4e59-af2c-25dfedc6a770 OR 0eddcb5a-198d-41ed-8057-94a60ebf38a8 OR ddc2e9f2-7157-4e83-8eb2-b8bec9c248ac OR 5c846991-c340-48b1-83b7-0305d2d24f10),"""Retrieve documents with resource UIDs 6ea0bf4b-69b6-4f38-8879-29d138ca9ebf, 2579a8bc-d069-4f0f-98c7-29f7deb52605, 74b1dc2b-01e5-4e59-af2c-25dfedc6a770, 0eddcb5a-198d-41ed-8057-94a60ebf38a8, ddc2e9f2-7157-4e83-8eb2-b8bec9c248ac, or 5c846991-c340-48b1-83b7-0305d2d24f10."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:nRhQGWRNRtu8O4ghwC7ZtA"")","""Retrieve resources with resourceUid matching swym:215dsi0708:DSEXT001:community:nRhQGWRNRtu8O4ghwC7ZtA."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:2442"")",Retrieve documents where the resource UID is swym:215dsi0708:DSEXT001:community:2442.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:ej3GpT05Qaam0UwdQ_4oBg"")","""Retrieve resources with resourceUid swym:215dsi0708:DSEXT001:community:ej3GpT05Qaam0UwdQ_4oBg."""
[ds6w:resourceUid]:(a1d8f1b4-07df-4051-ac95-76d6b38f8203),Retrieve documents with resourceUid equal to a1d8f1b4-07df-4051-ac95-76d6b38f8203.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:OxvQgE3eSLiGgZN8m-WPsA"")","""Retrieve documents with resourceUid matching swym:215dsi0708:DSEXT001:community:OxvQgE3eSLiGgZN8m-WPsA."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:ky5jS-SAT3CuO-563sSLeA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-03-26 13:07:25"") OR ([ds6w:modified]>""2022-04-11 12:39:08"")))","""Retrieve documents with container UID swym:215dsi0708:DSEXT001:community:ky5jS-SAT3CuO-563sSLeA that are either Post, Idea, or Question, or are WikiTree pages with visibility set to 1, and were modified before March 26, 2021 13:07:25 or after April 11, 2022 12:39:08."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:206"")","""Retrieve documents with resource UID matching 'wym:215dsi0708:DSEXT001:community:206'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:d704grY4SQ6Sk3y8fD4hdQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-12-15 15:54:09"") OR ([ds6w:modified]>""2024-05-09 16:29:59"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:d704grY4SQ6Sk3y8fD4hdQ' that are of type 'Post', 'Idea', or 'Question' or are 'WikitreePages' with visibility set to 1, and were modified before December 15, 2022 15:54:09 or after May 9, 2024 16:29:59."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:13JuaJQRSPSSdW5XrB2AWQ"")","""Retrieve documents with resource UID matching 'wym:215dsi0708:DSEXT001:community:13JuaJQRSPSSdW5XrB2AWQ'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:LXxFk9YjSK-8BZ3ZdcRdeQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-03-01 16:05:19"") OR ([ds6w:modified]>""2024-05-10 02:42:05"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:LXxFk9YjSK-8BZ3ZdcRdeQ' that are either a swym Post, Idea, or Question, or a swym WikitreePage with visibility set to 1, and were modified before March 1, 2022 16:05:19 or after May 10, 2024 02:42:05."""
